age,marital,education,default,balance,housing,loan,duration,campaign,pdays,previous,poutcome,day_of_the_year,y,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,contact_cellular,contact_unknown
0.0,0.5,0.5,1,0.0,1,0,0.4,0.04081632653061224,0.0,0,0.5,0.35097493036211697,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,1.0,0,0.3333333333333333,1,1,0.2,0.0,0.09862385321100918,19,0.0,0.7827298050139275,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.5,0.5,1.0,0,0.0,0,0,0.0,0.02040816326530612,0.0,0,0.5,0.6350974930362117,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,1.0,0.5,0,1.0,1,1,0.0,0.0,0.0,0,0.5,0.883008356545961,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,0.25,0,1.0,0,1,0.0,0.12244897959183673,0.0,0,0.5,0.44846796657381616,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.5,0,0.0,1,1,0.6,0.0,0.0,0,0.5,0.362116991643454,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,0.0,0.5,0,0.6666666666666666,1,0,0.6,0.02040816326530612,0.0,0,0.5,0.5181058495821727,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.5,1.0,0.5,0,0.3333333333333333,1,0,0.8,0.0,0.0,0,0.5,0.28133704735376047,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.5,1.0,0.5,0,0.3333333333333333,0,1,1.0,0.02040816326530612,0.0,0,0.5,0.4986072423398329,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.5,0,1.0,1,0,0.4,0.02040816326530612,0.1926605504587156,4,0.25,0.3286908077994429,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,1.0,0.5,0,0.6666666666666666,0,0,0.2,0.0,0.12041284403669725,1,0.25,0.052924791086350974,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0,0.5,0.5,1,0.0,1,1,0.2,0.04081632653061224,0.41743119266055045,2,0.25,0.36768802228412256,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.5,0,1.0,1,0,1.0,0.0,0.0,0,0.5,0.41225626740947074,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.0,0.5,0.25,0,0.0,0,1,0.6,0.02040816326530612,0.0,0,0.5,0.49303621169916434,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,0.25,0,0.3333333333333333,0,0,0.2,0.0,0.0,0,0.5,0.45125348189415043,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.5,1.0,0.5,0,1.0,1,0,0.4,0.02040816326530612,0.0,0,0.5,0.6323119777158774,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.5,1.0,0.5,0,0.3333333333333333,0,0,0.8,0.02040816326530612,0.0,0,0.5,0.39275766016713093,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,1.0,0,0.6666666666666666,0,0,0.8,0.14285714285714285,0.0,0,0.5,0.6267409470752089,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,1.0,0.5,0,0.0,0,1,0.6,0.061224489795918366,0.0,0,0.5,0.49303621169916434,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,1.0,0.5,0,1.0,1,0,0.0,0.10204081632653061,0.0,0,0.5,0.3593314763231198,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.5,1.0,0.5,0,0.3333333333333333,1,0,0.2,0.0,0.0,0,0.5,0.48746518105849584,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,1.0,0.5,0,0.0,1,0,0.4,0.02040816326530612,0.0,0,0.5,0.3955431754874652,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,1.0,0.25,0,0.0,0,0,0.4,0.04081632653061224,0.0,0,0.5,0.5710306406685237,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0.5,0.5,0,0.3333333333333333,1,0,0.4,0.0,0.4139908256880734,1,0.0,0.3565459610027855,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.5,0.5,0.5,0,0.0,0,0,0.2,0.10204081632653061,0.0,0,0.5,0.362116991643454,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.0,1.0,0.25,0,0.0,1,0,0.4,0.0,0.3876146788990826,1,0.0,0.3342618384401114,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,1.0,0.5,0,0.0,1,0,0.2,0.0,0.2591743119266055,2,1.0,0.06128133704735376,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,1.0,0.5,0,1.0,1,1,0.4,0.0,0.30619266055045874,2,0.0,0.06406685236768803,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,1.0,0.5,0,0.0,0,0,0.2,0.061224489795918366,0.0,0,0.5,0.649025069637883,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,1.0,0.5,0,0.6666666666666666,1,0,0.0,0.02040816326530612,0.0,0,0.5,0.4011142061281337,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,1.0,0,1.0,0,0,0.2,0.04081632653061224,0.0,0,0.5,0.5459610027855153,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,1.0,0.5,0,0.6666666666666666,0,0,1.0,0.061224489795918366,0.0,0,0.5,0.596100278551532,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0.5,1.0,0.25,0,0.3333333333333333,0,1,0.4,0.0,0.0,0,0.5,0.5933147632311978,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.0,1.0,1.0,0,0.0,1,0,0.4,0.02040816326530612,0.18463302752293578,1,0.0,0.883008356545961,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,0.0,1.0,0,0.3333333333333333,0,0,0.4,0.0,0.0,0,0.5,0.6350974930362117,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,0.0,1.0,0,0.3333333333333333,0,0,0.2,0.0,0.0,0,0.5,0.38997214484679665,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,1.0,0.5,0,0.0,1,1,0.4,0.02040816326530612,0.22247706422018348,2,0.25,0.07242339832869081,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,0.5,0.5,0,1.0,1,1,0.4,0.1836734693877551,0.0,0,0.5,0.6239554317548747,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,1.0,0.25,0,0.6666666666666666,0,1,0.2,0.0,0.2396788990825688,1,0.0,0.07242339832869081,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,0.0,1.0,0,0.3333333333333333,0,0,0.2,0.0,0.0,0,0.5,0.6072423398328691,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,1.0,0.5,0,0.3333333333333333,1,0,0.0,0.04081632653061224,0.0,0,0.5,0.35376044568245124,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5,1.0,1.0,0,0.3333333333333333,1,0,0.4,0.08163265306122448,0.0,0,0.5,0.41225626740947074,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.0,1.0,0.5,0,0.0,1,0,0.4,0.04081632653061224,0.0,0,0.5,0.5654596100278552,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,0.5,0,0.3333333333333333,0,0,1.0,0.0,0.20871559633027523,14,1.0,0.6016713091922006,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0,0.0,0.25,0,0.0,1,0,1.0,0.02040816326530612,0.0,0,0.5,0.36768802228412256,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,0.25,0,0.3333333333333333,1,1,1.0,0.1836734693877551,0.0,0,0.5,0.5153203342618384,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.5,1,0.3333333333333333,0,0,0.0,0.08163265306122448,0.0,0,0.5,0.8857938718662952,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.5,1.0,0.0,0,0.6666666666666666,1,0,0.4,0.0,0.0,0,0.5,0.39275766016713093,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,1.0,1.0,0,0.6666666666666666,0,0,0.4,0.04081632653061224,0.0,0,0.5,0.29526462395543174,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,1.0,0,0.6666666666666666,1,0,0.2,0.0,0.0,0,0.5,0.3398328690807799,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,1.0,0.25,0,0.0,0,1,0.4,0.0,0.0,0,0.5,0.06128133704735376,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.5,1.0,0.5,0,0.3333333333333333,1,0,0.6,0.0,0.0,0,0.5,0.4011142061281337,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1.0,1.0,0.5,0,0.0,0,0,0.0,0.0,0.0,0,0.5,0.8885793871866295,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.0,1.0,0.5,0,1.0,1,0,0.6,0.02040816326530612,0.10894495412844037,1,0.0,0.6713091922005571,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.5,0.5,1.0,0,1.0,1,0,0.4,0.0,0.0,0,0.5,0.4011142061281337,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.5,1.0,0.5,0,0.0,1,0,0.6,0.0,0.0,0,0.5,0.4596100278551532,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,1.0,1.0,0,0.3333333333333333,0,0,0.8,0.02040816326530612,0.0,0,0.5,0.6462395543175488,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.5,1.0,0.5,0,0.0,1,0,0.0,0.14285714285714285,0.0,0,0.5,0.40947075208913647,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,0.25,0,0.3333333333333333,0,0,0.2,0.04081632653061224,0.0,0,0.5,0.5153203342618384,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0,0.0,0.5,0,0.3333333333333333,0,0,0.8,0.02040816326530612,0.0,0,0.5,0.06128133704735376,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0,1.0,1.0,0,1.0,1,0,1.0,0.02040816326530612,0.0,0,0.5,0.34818941504178275,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,1.0,0.25,0,0.0,0,0,0.6,0.02040816326530612,0.0,0,0.5,0.4986072423398329,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.5,1.0,0.5,0,0.6666666666666666,0,0,0.6,0.08163265306122448,0.0,0,0.5,0.3732590529247911,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.0,0.5,1.0,0,1.0,1,0,0.2,0.02040816326530612,0.0,0,0.5,0.883008356545961,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.5,1.0,0.5,0,0.0,1,0,0.8,0.10204081632653061,0.0,0,0.5,0.5710306406685237,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.5,1.0,0.5,0,0.3333333333333333,0,0,0.0,0.02040816326530612,0.0,0,0.5,0.41225626740947074,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.5,0.0,0.5,0,0.3333333333333333,1,1,0.8,0.02040816326530612,0.39908256880733944,1,0.0,0.34818941504178275,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.5,0,0.0,1,0,0.4,0.10204081632653061,0.41743119266055045,9,0.0,0.36768802228412256,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.5,0.0,0.5,0,1.0,0,0,1.0,0.02040816326530612,0.0,0,0.5,0.596100278551532,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0.5,0.5,0.25,0,0.3333333333333333,1,0,0.6,0.02040816326530612,0.0,0,0.5,0.3593314763231198,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.5,0.5,0.5,0,0.0,0,0,0.8,0.08163265306122448,0.0,0,0.5,0.5654596100278552,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.0,0.0,1.0,0,1.0,1,0,0.0,0.061224489795918366,0.0,0,0.5,0.8885793871866295,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,1.0,0.5,0,0.3333333333333333,1,0,1.0,0.02040816326530612,0.0,0,0.5,0.28133704735376047,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,0.25,0,0.6666666666666666,1,0,0.4,0.02040816326530612,0.0,0,0.5,0.3398328690807799,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,0.0,0,0.3333333333333333,1,0,0.0,0.02040816326530612,0.0,0,0.5,0.35097493036211697,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1.0,0.5,0,0.0,0,0,0.2,0.04081632653061224,0.0,0,0.5,0.6044568245125348,0,0,0,0,0,0,0,0,0,0,1,0,1,0
