age,marital,education,default,balance,housing,loan,duration,campaign,pdays,previous,poutcome,day_of_the_year,y,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,contact_cellular,contact_telephone,contact_unknown
2.2699025903446524,0.5,0.5,1,8.100464891029363,1,0,-0.21112444756865087,3,-1,0,0.5,133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.520692934688839,0.0,1.0,0,8.148445666243235,1,1,-0.6202217857790289,1,85,19,0.0,288,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3.558049263024165,0.5,1.0,0,8.105911197986508,0,0,-1.2409781331913803,2,-1,0,0.5,235,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2.520692934688839,1.0,0.5,0,9.360741172643708,1,1,-1.309826090045328,1,-1,0,0.5,324,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4.131315976088107,1.0,0.25,0,9.031692060548524,0,1,-0.9376243884600932,7,-1,0,0.5,168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2.520692934688839,0.0,0.5,0,8.105911197986508,1,1,0.13760229829754966,1,-1,0,0.5,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3.732215207888324,0.0,0.5,0,8.330381569349418,1,0,0.040974628074042355,2,-1,0,0.5,193,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2.973946828243018,1.0,0.5,0,8.226305988015508,1,0,0.43690602650227445,1,-1,0,0.5,108,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.4674413879957595,1.0,0.5,0,8.137103389639302,0,1,1.507063569544261,2,-1,0,0.5,186,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2.6396708743907267,0.0,0.5,0,9.109967397829395,1,0,-0.15128646508165683,2,167,4,0.25,125,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5.512645902892482,1.0,0.5,0,8.354438940114811,0,0,-0.6591345498316412,1,104,1,0.25,26,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2.2699025903446524,0.5,0.5,1,8.107418811719974,1,1,-0.8525407820705697,3,363,2,0.25,139,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.1375000853110975,0.0,0.5,0,8.59748202264504,1,0,1.0198229907958731,1,-1,0,0.5,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.131315976088107,0.5,0.25,0,8.097426298597213,0,1,0.1682696381068075,2,-1,0,0.5,184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4.6188042428369265,1.0,0.25,0,8.127699852817772,0,0,-0.5106687618689661,1,-1,0,0.5,169,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2.973946828243018,1.0,0.5,0,8.570544366913232,1,0,-0.17091425452702133,2,-1,0,0.5,234,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2.8660741005038712,1.0,0.5,0,8.144969417087875,0,0,0.6536430874605698,2,-1,0,0.5,148,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4.553525424271889,1.0,1.0,0,8.353025845202325,0,0,0.8223311535904817,8,-1,0,0.5,232,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2.520692934688839,1.0,0.5,0,8.105911197986508,0,1,0.024138666167450584,4,-1,0,0.5,184,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3.9774362364594955,1.0,0.5,0,8.681011276645632,1,0,-1.0860150195950198,6,-1,0,0.5,136,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3.64626922296472,1.0,0.5,0,8.19671240721307,1,0,-0.6298290945173602,1,-1,0,0.5,182,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3.8159933916666136,1.0,0.5,0,7.773173680482536,1,0,-0.075717197316128,2,-1,0,0.5,149,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4.745481950275308,1.0,0.25,0,8.105911197986508,0,0,-0.3944388952166988,3,-1,0,0.5,212,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2.6396708743907267,0.5,0.5,0,8.170468578330674,1,0,-0.24566005264692006,1,360,1,0.0,135,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3.3743231269788683,0.5,0.5,0,8.124743020385568,0,0,-0.7843822686899202,6,-1,0,0.5,137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.7080395046734995,1.0,0.25,0,8.123854263105914,1,0,-0.17091425452702133,1,337,1,0.0,127,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.7080395046734995,1.0,0.5,0,8.076204527239026,1,0,-0.888220595875641,1,225,2,1.0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
